StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Example_1,Example_2,Example_3,Example_4,Example_5,Example_6,Example_7,Example_8,Example_9,areyousure_1,areyousure_2,areyousure_3,areyousure_4,areyousure_5,areyousure_6,areyousure_7,areyousure_8,areyousure_9,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7simple_1,Q7simple_2,Q7simple_3,Q7simple_4,Q7simple_5,Q7simple_6,Q7simple_7,Q7simple_8,Q7simple_9,Q7simple_10,Q7simple_11,Q7simple_12,Q7simple_13,Q7simple_14,Q7simple_15,Q7simple_16,Q7simple_17,Q7complex_1,Q7complex_2,Q7complex_3,Q7complex_4,Q7complex_5,Q7complex_6,Q7complex_7,Q7complex_8,Q7complex_9,Q7complex_10,Q7complex_11,Q7complex_12,Q7complex_13,Q7complex_14,Q7complex_15,Q7complex_16,Q7complex_17,Q1'_1,Q1'_2,Q1'_3,Q1'_4,Q1'_5,Q1'_6,Q1'_7,Q1'_8,Q1'_9,Q1'_10,Q1'_11,Q1'_12,Q1'_13,Q2'_1,Q2'_2,Q2'_3,Q2'_4,Q2'_5,Q2'_6,Q2'_7,Q2'_8,Q2'_9,Q3'_1,Q3'_2,Q3'_3,Q3'_4,Q3'_5,Q4'_1,Q4'_2,Q4'_3,Q4'_4,Q4'_5,Q4'_6,Q4'_7,Q4'_8,Q4'_9,Q4'_10,Q4'_11,Q4'_12,Q4'_13,Q4'_14,Q4'_15,Q4'_16,Q4'_17,Q5'_1,Q5'_2,Q5'_3,Q5'_4,Q5'_5,Q6'_1,Q6'_2,Q6'_3,Q6'_4,Q6'_5,Q6'_6,Q6'_7,Q6'_8,Q6'_9,Q7'simple_1,Q7'simple_2,Q7'simple_3,Q7'simple_4,Q7'simple_5,Q7'simple_6,Q7'simple_7,Q7'simple_8,Q7'simple_9,Q7'simple_10,Q7'simple_11,Q7'simple_12,Q7'simple_13,Q7'simple_14,Q7'simple_15,Q7'simple_16,Q7'simple_17,Q7'complex_1,Q7'complex_2,Q7'complex_3,Q7'complex_4,Q7'complex_5,Q7'complex_6,Q7'complex_7,Q7'complex_8,Q7'complex_9,Q7'complex_10,Q7'complex_11,Q7'complex_12,Q7'complex_13,Q7'complex_14,Q7'complex_15,Q7'complex_16,Q7'complex_17,Comments,Q48,Q_LastModified,version,FL_14_DO_MainQuestionsBlockLOW,FL_14_DO_MainQuestionsBlockHIGH,MainQuestionsBlockLOW_DO_Q7complex,MainQuestionsBlockLOW_DO_Q5,MainQuestionsBlockLOW_DO_Q6,MainQuestionsBlockLOW_DO_Q3,MainQuestionsBlockLOW_DO_Q33,MainQuestionsBlockLOW_DO_Q1,MainQuestionsBlockLOW_DO_Q2,MainQuestionsBlockLOW_DO_Q4,MainQuestionsBlockLOW_DO_Q7simple,MainQuestionsBlockHIGH_DO_Q6',MainQuestionsBlockHIGH_DO_Q5',MainQuestionsBlockHIGH_DO_Q7'complex,MainQuestionsBlockHIGH_DO_Q4',MainQuestionsBlockHIGH_DO_Q7'simple,MainQuestionsBlockHIGH_DO_Q3',MainQuestionsBlockHIGH_DO_Q34,MainQuestionsBlockHIGH_DO_Q2',MainQuestionsBlockHIGH_DO_Q1',participant
2022-04-04T14:52:44Z,2022-04-04T14:55:54Z,IP Address,*******,100,190,TRUE,2022-04-04T14:55:55Z,R_1KkeG2gn4mSBVp3,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649083613,NA,1,NA,NA,6,7,4,1,2,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,d55229d374
2022-04-04T14:52:06Z,2022-04-04T14:57:05Z,IP Address,*******,100,299,TRUE,2022-04-04T14:57:06Z,R_1LvWSMoeCqKNxLR,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,NA,NA,1649083613,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,5,NA,4,1,3,2,6baa997b2a
2022-04-04T14:52:57Z,2022-04-04T14:57:14Z,IP Address,*******,100,257,TRUE,2022-04-04T14:57:14Z,R_2dHngRyAXI1PObl,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649083613,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,5,8,4,1,3,2,dbcbe32423
2022-04-04T14:51:52Z,2022-04-04T14:57:45Z,IP Address,*******,100,353,TRUE,2022-04-04T14:57:45Z,R_1OkPEKV985cmATY,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649083613,NA,1,NA,8,6,7,4,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0fb42cbc76
2022-04-04T14:52:42Z,2022-04-04T15:02:06Z,IP Address,*******,100,563,TRUE,2022-04-04T15:02:06Z,R_3FVElGLwMaxAJ3W,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649083613,NA,1,NA,NA,6,7,4,1,2,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,d889adddd1
2022-04-04T16:41:29Z,2022-04-04T16:45:30Z,IP Address,*******,100,241,TRUE,2022-04-04T16:45:31Z,R_2aVqNyKtN1be5gN,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I chose the midpoint between the two as I had for all others - my response had become quite automated. I'll admit I didn't read the question in full by that point as I knew what to expect so if it was different in some way then I apologise for the lack of attention.,1649083613,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,5,8,4,1,3,2,0b4de601e4
2022-04-04T16:45:14Z,2022-04-04T16:48:23Z,IP Address,*******,100,188,TRUE,2022-04-04T16:48:23Z,R_zZslW5TsRfUSUP7,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649089863,NA,1,NA,NA,6,7,4,1,2,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,375d246b16
2022-04-04T16:45:05Z,2022-04-04T16:48:54Z,IP Address,*******,100,229,TRUE,2022-04-04T16:48:54Z,R_AF0w7jrhTO9DkZ3,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Everything clear,"I think was more hard to choose between 2 options more inside of Tails or Heads, wish know the correct answer haha",1649089863,NA,1,NA,8,6,7,4,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b4c7584a15
2022-04-04T16:46:34Z,2022-04-04T16:49:06Z,IP Address,*******,100,152,TRUE,2022-04-04T16:49:07Z,R_3sicLVy3nn8UrYa,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1649089863,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,5,NA,4,1,3,2,861fc7cca2
2022-04-04T16:43:22Z,2022-04-04T16:49:10Z,IP Address,*******,100,348,TRUE,2022-04-04T16:49:11Z,R_1pMQL4u2AjF0CaA,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649089863,NA,1,NA,NA,6,7,4,1,2,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,ae2003b85b
2022-04-04T16:45:55Z,2022-04-04T16:50:11Z,IP Address,*******,100,255,TRUE,2022-04-04T16:50:11Z,R_1OYTBRkxRteCnSo,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649089863,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,5,8,4,1,3,2,45dec133ba
2022-04-04T16:42:55Z,2022-04-04T16:50:15Z,IP Address,*******,100,440,TRUE,2022-04-04T16:50:15Z,R_2AMbaKDYR7sEfOw,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,NA,NA,1649089863,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,5,NA,4,1,3,2,ca5ea312b8
2022-04-04T16:46:42Z,2022-04-04T16:50:21Z,IP Address,*******,100,219,TRUE,2022-04-04T16:50:21Z,R_3QSopcwlO0MeS15,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I agree to participate in this study.",1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bit confusing,1649089863,NA,1,NA,8,6,7,4,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7557d230f2
